2024;Vital statistics of Japan;;;;;;;;;;;;;;;;;;;;;;;;;
 Volume 1 Population Table 4-1 Trends in population by sex: Japan，each prefecture -Total-;;;;;;;;;;;;;;;;;;;;;;;;;;
Note: 1) The population for each year is as of October 1. The Census populations are used for 1935，1947，1950 and every five years thereafter.;;;;;;;;;;;;;;;;;;;;;;;;;;
　　　2) The values before 1965 indicate total population，whereas the values after 1970 indicate Japanese population.;;;;;;;;;;;;;;;;;;;;;;;;;;
　　　3) The values for 1947 exclude survey omissions due to non-distribution in some regions.;;;;;;;;;;;;;;;;;;;;;;;;;;
　　　4) The 73 people (39 males，34 females) in the disputed border area between Yamaguchi Village，Nishichikuma-gun，Nagano and Nakatsugawa City，Gifu in 1960 are included in the total population of the country，;;;;;;;;;;;;;;;;;;;;;;;;;;
　　　　 but not in the population of Nagano or Gifu.;;;;;;;;;;;;;;;;;;;;;;;;;;
　　　5) The values for 1970，1975，1980 and 1995 are the final populations of the Population Census. The values for 1990，2000，2005，2010 and 2015 are the final populations of the Population Census (prorated population).;;;;;;;;;;;;;;;;;;;;;;;;;;
　　　　 The values for 2020 are the final populations of the Population Census (result with Imputation).;;;;;;;;;;;;;;;;;;;;;;;;;;
　　　6) Each report for 1970，1975 and 1980 differs from the numbers in this table because the compiled result was based on 1% sample tabulation results.;;;;;;;;;;;;;;;;;;;;;;;;;;
　　　7) In the figures for 1985，the national population indicates the Japanese populationand the population per prefecture indicates the total population，;;;;;;;;;;;;;;;;;;;;;;;;;;
　　　　 and the“Preliminary Sample Tabulation of the 1985 Population Census” was used.;;;;;;;;;;;;;;;;;;;;;;;;;;
　　　8) The population by prefecture was also changed to indicate the Japanese population from 2016 and the Population Estimates (as of October 1 each year) were used.;;;;;;;;;;;;;;;;;;;;;;;;;;
;1935;1947;1950;1955;1960;1965;1970;1975;1980;1985;1990;1995;2000;2005;2010;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Total;69254148;78101473;83199637;89275529;93418501;98274961;103119447;111251507;116320358;120265700;122721397;124298947;125612633;126204902;126381728;125431000;125319299;125020252;124648471;124218285;123731176;123398962;122780487;122030523;121193394;120295592
01 Hokkaido;3068282;3852821;4295567;4773087;5039206;5171800;5177286;5330284;5566372;5688500;5635049;5675838;5670558;5612068;5488092;5381000;5360032;5327000;5292000;5253000;5211000;5188441;5147000;5098000;5041000;4980000
02 Aomori;967129;1180245;1282867;1382523;1426606;1416591;1425702;1466742;1521778;1521200;1480947;1478123;1472690;1432727;1369629;1318000;1304813;1290000;1274000;1258000;1240000;1232227;1216000;1198000;1177000;1157000
03 Iwate;1046111;1262743;1346728;1427097;1448517;1411118;1369948;1383931;1420078;1454600;1415036;1416864;1412338;1379659;1324924;1280000;1274574;1263000;1249000;1234000;1219000;1203203;1189000;1173000;1154000;1134000
04 Miyagi;1234801;1566831;1663442;1727065;1743195;1753126;1815282;1950790;2076657;2167900;2243117;2319433;2354916;2348339;2335682;2316000;2319616;2314000;2305000;2296000;2283000;2280203;2269000;2256000;2239000;2219000
05 Akita;1037744;1257398;1309031;1348871;1335580;1279835;1240345;1231389;1255499;1252900;1226062;1211616;1186209;1141865;1082603;1034000;1020199;1007000;992000;978000;963000;955659;941000;926000;909000;891000
06 Yamagata;1116822;1335653;1357347;1353649;1320664;1263103;1224918;1219429;1250989;1251200;1256930;1253941;1239132;1209795;1162744;1125000;1118381;1107000;1095000;1083000;1070000;1060586;1048000;1033000;1018000;1001000
07 Fukushima;1581563;1992460;2062394;2095237;2051137;1983754;1943989;1968270;2032547;2054200;2100255;2127214;2118100;2081248;2019618;1928000;1905278;1891000;1871000;1851000;1831000;1819085;1799000;1776000;1751000;1724000
08 Ibaraki;1548991;2013735;2039418;2064037;2047024;2056154;2140122;2338151;2552775;2717500;2834279;2929220;2954817;2937843;2929085;2881000;2875434;2861000;2847000;2829000;2810000;2801640;2785000;2767000;2744000;2716000
09 Tochigi;1195057;1534311;1550462;1547580;1513624;1521656;1578146;1695848;1789218;1883800;1925886;1965431;1983723;1990257;1980746;1954000;1947505;1939000;1930000;1919000;1906000;1891396;1880000;1865000;1848000;1830000
10 Gunma;1242453;1572787;1601380;1613549;1578476;1605584;1656209;1753436;1845138;1913200;1955819;1981799;1996251;1989184;1972287;1941000;1935898;1926000;1913000;1901000;1886000;1879820;1866000;1850000;1831000;1811000
11 Saitama;1528854;2100453;2146445;2262623;2430871;3014983;3858607;4809517;5405466;5854900;6374361;6696390;6875484;6974003;7104590;7143000;7160471;7169000;7174000;7175000;7174000;7159087;7152000;7136000;7113000;7083000
12 Chiba;1546394;2112917;2139037;2205060;2306010;2701770;3358440;4136216;4719383;5168100;5527777;5744010;5868599;5983085;6135236;6114000;6130930;6137000;6141000;6143000;6141000;6122205;6114000;6100000;6081000;6057000
13 Tokyo;6369919;5000777;6277500;8037084;9683802;10869244;11324994;11568852;11506944;11780500;11695218;11543005;11850305;12325038;12833956;13044000;13131172;13207000;13273000;13340000;13405000;13484028;13459000;13443000;13448000;13463000
14 Kanagawa;1840005;2218120;2487665;2919497;3443176;4430743;5439126;6359334;6883647;7380200;7918632;8152458;8390552;8675683;8921252;8967000;8979438;8986000;8989000;8993000;8997000;9006608;9007000;8991000;8970000;8941000
15 Niigata;1995777;2418271;2460997;2473492;2442037;2398931;2358323;2388992;2448056;2448900;2470352;2480287;2466374;2420575;2362420;2302000;2292676;2273000;2253000;2230000;2206000;2185171;2161000;2136000;2107000;2078000
16 Toyama;798890;979229;1008790;1021121;1032614;1025465;1027956;1068930;1101485;1125400;1117550;1117592;1113787;1101133;1082108;1059000;1055528;1049000;1043000;1035000;1026000;1017321;1008000;998000;987000;974000
17 Ishikawa;768416;927743;957279;966187;973418;980499;999535;1066669;1115559;1157700;1160786;1175042;1174630;1166366;1159897;1146000;1144626;1140000;1136000;1130000;1123000;1117364;1111000;1102000;1091000;1079000
18 Fukui;646659;726264;752374;754055;752696;750557;740024;768867;789497;822000;818325;819320;819080;810772;795496;780000;777192;772000;767000;762000;756000;752018;746000;738000;729000;721000
19 Yamanashi;646727;807251;811369;807044;782062;763194;760492;781360;802490;823100;850075;873970;877168;870939;850546;830000;823723;818000;811000;805000;798000;794358;789000;784000;776000;769000
20 Nagano;1714000;2060010;2060831;2021292;1981433;1958007;1952346;2012816;2078832;2170400;2148242;2173400;2181873;2161328;2122509;2083000;2072135;2060000;2047000;2032000;2016000;2013539;1999000;1984000;1965000;1945000
21 Gifu;1225799;1493644;1544538;1583605;1638399;1700365;1749524;1858066;1949993;2038300;2055219;2081104;2081092;2070404;2043467;2008000;1996303;1985000;1970000;1956000;1940000;1924681;1907000;1888000;1868000;1846000
